image_path,filename,true_label,resnet_pred,caption_neutral,gender_neutral,aligns_with_true_neutral,aligns_with_resnet_neutral,caption_gender_probe,gender_gender_probe,aligns_with_true_gender_probe,aligns_with_resnet_gender_probe,caption_clothing_focus,gender_clothing_focus,aligns_with_true_clothing_focus,aligns_with_resnet_clothing_focus
8-1/20190102085536163_500.jpg,20190102085536163_500.jpg,female,male,"The person in the image is wearing a pair of plaid pants and a hoodie. They are standing on a set of stairs, posing for a photo with their backpacks nearby. There is a bag in the background, likely belonging to one of the people in the scene.",male,False,True,"The person in the image appears to be a male, based on the visual cues in their clothing or appearance. The person is wearing a plaid shirt and a pair of pants with a checkered pattern, suggesting that they are dressed in a masculine fashion. Additionally, the person has a black backpack, which indicates that they may be carrying a bag or other personal belongings.",male,False,True,"The person in the image is wearing a pair of plaid pants and a black hoodie. They are standing on a set of stairs, posing for a photo with a backpack nearby. The person is also carrying a bag, which can be seen in the background of the image.",male,False,True
10-4/20190726230233977_500.jpg,20190726230233977_500.jpg,female,male,"The person in the image is wearing a white shirt and a pair of black shorts. They are holding a small child in their arms as they stand in front of the Wayway Inn, a hotel located in a residential area. There is a sign on the side of the building that reads ""Wayaway Inn"", which can be seen in the background.",male,False,True,"The person in the image appears to be a woman, as they are wearing a white shirt and a pair of shorts. They are also holding a child, which suggests that they are a mother or father. The visual cues in their clothing or appearance led us to believe that the person is female. The person is wearing white shorts, while the child is wearing blue shorts and white sneakers. This indicates that the woman is caring for her child.",female,True,False,"The person in the image is wearing a white shirt and a pair of shorts. The person is holding a small child, which can be seen in the foreground of the image. They are standing in front of a building that appears to be the Wayway Inn, a popular hotel in the area. There is a flowerpot on the side of the building, which could be a sign of the hotel's flower garden.",male,False,True
1-4/20170329092846985_500.jpg,20170329092846985_500.jpg,female,male,"The person in the image is wearing a white coat and a pair of white pants. They are standing in front of a mirror, taking a selfie with their handbag in one hand and their phone in the other. There is also a bag visible in the background, likely belonging to the person.",male,False,True,"The gender of the person in the image is female, based on the visual cues in their clothing or appearance. They are wearing white pants and a white coat, which suggests that they are a woman. Additionally, they are holding a handbag, which indicates that they may be a male.",male,False,True,"The person in the image is wearing a white coat, a pair of white pants, and white sneakers. She is standing in front of a mirror, taking a picture of herself in the mirror. The person's outfit is casual and comfortable, suitable for everyday wear. There is also a handbag present in the scene, likely belonging to the person taking the picture.",female,True,False
4-3/20171228010308248_500.jpg,20171228010308248_500.jpg,female,male,"The girl in the image is wearing a colorful kimono and a hat. She is standing in a room with a variety of items, including a pair of boots, a scarf, and mittens. The girl's outfit is reminiscent of a traditional japanese costume, which is typically worn during festivals or celebrations.",female,True,False,"The gender of the person in the image is female, based on the visual cues in their clothing or appearance. The person is wearing a colorful kimono and a green hat, which suggests that she is a girl. Additionally, the person is standing in a closet, which indicates that she may be a teenager or young adult.",female,True,False,"The person in the image is dressed in a colorful kimono and a hat. She is also wearing a pair of boots, which can be seen in the background of the image. The outfit is reminiscent of traditional Japanese attire, featuring a long dress with a wide sleeved top and an asymmetrical hemline. There are several bags scattered around the room, including a backpack, a purse, and two suitcases. The person is standing in front of a mirror, posing for a photo.",female,True,False
3-2/20171026213058317_500.jpg,20171026213058317_500.jpg,female,male,"The person in the image is wearing a green coat and a pair of black pants. They are standing in a mirror, taking a selfie with a cell phone in their hand. There are several pairs of shoes scattered around the room, some of which are visible in the background.",male,False,True,"The gender of the person in the image is female, based on the visual cues in their clothing or appearance. The person is wearing a green coat and black pants, which indicate that she is dressed in a feminine manner. Additionally, the person's hair is dark brown, suggesting that she may be a woman.",female,True,False,"The person in the image is wearing a green coat, black pants, and a pair of black boots. She is holding a cell phone in her hand, which can be seen in the reflection of the mirror. There are also several pairs of shoes scattered around the room, some of which are visible in the background.",female,True,False
8-2/20190103215221470_500.jpg,20190103215221470_500.jpg,female,male,"The person in the image is wearing a black coat, a pair of black pants, and sneakers. They are standing in front of a concrete wall, posing for a photo. The person's shoes are visible in the background, indicating that they are wearing sneakers.",male,False,True,"The person in the image appears to be male, based on the visual cues in their clothing or appearance. The person is wearing a black coat and black pants with white sneakers, suggesting that they are male. Additionally, the person is standing in a concrete space, which suggests that they may be indoors.",male,False,True,"The person in the image is wearing a black coat, a pair of jeans, and sneakers. The person is standing against a wall in a parking garage, posing for a photo. The outfit includes a long black coat with a hood, as well as a white shirt and black pants. A pair of black sneakers can be seen on the ground near the person's feet.",male,False,True
12-2/20191230192549493_500.jpg,20191230192549493_500.jpg,female,male,"The person in the image is wearing a black sweater, a pair of jeans, and a cardigan. They are standing in front of a mirror, which can be seen in the background of the image. The person appears to be dressed casually, with their hair pulled back into a ponytail and their eyes closed. There is a small cup in the corner of the room, suggesting that the person is enjoying a cup of coffee or tea.",male,False,True,"The person in the image appears to be male, based on the visual cues in their clothing or appearance. The person is wearing a black cardigan sweater and white sneakers, which suggests that they are male. Additionally, the person's hair is blonde, which indicates that the person is female.",male,False,True,"The person in the image is wearing a pair of black pants and a cardigan sweater. They are standing in front of a mirror, which can be seen in the background of the image. There is also a handbag present in the scene, likely belonging to the person.",male,False,True
11-4/20191101192105251_500.jpg,20191101192105251_500.jpg,female,male,"The person in the image is wearing a black and white striped shirt dress and a pair of brown shoes. They are taking a selfie with their phone in front of a mirror, which can be seen in the background of the image. There is also a small handbag located in the corner of the room.",male,False,True,"The gender of the person in the image is female, based on the visual cues in their clothing or appearance. The person is wearing a striped shirt dress with black and white stripes, which suggests that they are a woman. Additionally, the person is taking a selfie in a mirror, which indicates that she is using her phone to take a picture.",female,True,False,"The person in the image is wearing a black and white striped shirt dress, paired with a pair of blue jeans and black boots. The person is taking a selfie with her phone in front of a mirror, which can be seen in the background of the image.",male,False,True
11-3/20191101080113435_500.jpg,20191101080113435_500.jpg,female,male,"The person in the image is wearing a brown sweater and a pumpkin-shaped mask. They are standing in front of a brick wall, with their feet positioned on either side of the wall. There is a pair of brown sneakers located near the person's feet.",male,False,True,"The person in the image appears to be male, based on the visual cues in their clothing or appearance. The person is wearing a brown sweater and black pants, suggesting that they are of Asian descent. Additionally, the person has a scar on their face, which indicates that they may have had a facial injury in the past.",male,False,True,"The outfit worn by the person in the image consists of a brown sweater, a pair of brown pants, and a pumpkin-shaped mask. The person is standing on a concrete wall, wearing a dark brown sweater and brown pants. There is also a shoe visible in the background, which can be seen closer to the person's face.",male,False,True
3-2/20171027014704032_500.jpg,20171027014704032_500.jpg,female,male,"The person in the image is wearing a grey suit and white sneakers. They are standing in front of a garage door, posing for a photo. The person's face is obscured by a black mask, suggesting that they are not visible to the camera.",male,False,True,"The person in the image is a male, based on the visual cues in their clothing or appearance. They are wearing a gray suit and white sneakers, suggesting that they are a professional man.",male,False,True,"The person in the image is wearing a gray suit with a white shirt and white sneakers. The person is standing in front of a garage door, posing for a photo. The outfit includes a pair of white sneakers, which can be seen on the person's feet. The shoes appear to be clean and in good condition, suggesting that the person is well-groomed and well-dressed.",male,False,True
